啊 | 2515212512
阿 | 5212512
埃 | 1215431134
挨 | 1215431134
哎 | 25112234
唉 | 2515431134
哀 | 412513534
皑 | 32511252515
癌 | 41341251251251252
蔼 | 12245251135345
矮 | 3113431234531
艾 | 12234
碍 | 1325125111124
爱 | 3443451354
隘 | 524313425221
鞍 | 122125112445531
氨 | 3115445531
安 | 445531
俺 | 3213425115
按 | 121445531
暗 | 2511414312511
岸 | 25213112
胺 | 3511445531
案 | 4455311234
肮 | 35114135
昂 | 25113552
盎 | 2513425221
凹 | 25251
敖 | 1121533134
熬 | 11215331344444
翱 | 3251113412541541
袄 | 452343134
傲 | 321121533134
奥 | 325431234134
懊 | 442325431234134
澳 | 441325431234134
芭 | 1225215
捌 | 1212515322
扒 | 12134
叭 | 25134
吧 | 2515215
笆 | 3143145215
八 | 34
疤 | 413415215
巴 | 5215
拔 | 12113544
跋 | 251212113544
靶 | 1221251125215
把 | 1215215
耙 | 1112345215
坝 | 1212534
霸 | 145244441221251123511
罢 | 2522112154
爸 | 34345215
白 | 32511
柏 | 123432511
百 | 132511
摆 | 1212522112154
佰 | 32132511
败 | 25343134
拜 | 311311112
稗 | 3123432511312
斑 | 112141341121
班 | 1121431121
搬 | 1213354143554
扳 | 1213354
般 | 3354143554
颁 | 3453132534
板 | 12343354
版 | 32153354
扮 | 1213453
拌 | 12143112
伴 | 3243112
瓣 | 4143113335444143112
半 | 43112
办 | 5344
绊 | 55143112
邦 | 111352
帮 | 111352252
梆 | 1234111352
榜 | 12344143454153
膀 | 35114143454153
绑 | 551111352
棒 | 123411134112
磅 | 132514143454153
蚌 | 2512141112
镑 | 311154143454153
傍 | 324143454153
谤 | 454143454153
苞 | 12235515
胞 | 351135515
包 | 35515
褒 | 413225112343534
剥 | 5112413422
薄 | 1224411251124124
雹 | 1452444435515
保 | 322511234
堡 | 322511234121
饱 | 35535515
宝 | 44511214
抱 | 12135515
报 | 1215254
暴 | 251112213424134
豹 | 3443533354
鲍 | 3525121135515
爆 | 4334251112213424134
杯 | 12341324
碑 | 1325132511312
悲 | 211121114544
卑 | 32511312
北 | 21135
辈 | 211121111512
背 | 211352511
贝 | 2534
钡 | 311152534
倍 | 3241431251
狈 | 3532534
备 | 35425121
惫 | 354251214544
焙 | 433441431251
被 | 4523453254
奔 | 13412132
苯 | 12212341
本 | 12341
笨 | 31431412341
崩 | 25235113511
绷 | 55135113511
甭 | 132435112
泵 | 132512534
蹦 | 251212125235113511
迸 | 431132454
逼 | 125125121454
鼻 | 32511125121132
比 | 1535
鄙 | 2511225251152
笔 | 3143143115
彼 | 33253254
碧 | 11213251113251
蓖 | 1223253411535
蔽 | 12243252343134
毕 | 153512
毙 | 1535135435
毖 | 153545434
币 | 3252
庇 | 4131535
痹 | 4134125121132
闭 | 425123
敝 | 43252343134
弊 | 43252343134132
必 | 45434
辟 | 5132514143112
壁 | 5132514143112121
臂 | 51325141431122511
避 | 5132514143112454
陛 | 521535121
鞭 | 122125112321251134
边 | 53454
编 | 551451325122
贬 | 25343454
扁 | 451325122
便 | 321251134
变 | 41223454
卞 | 4124
辨 | 4143113434143112
辩 | 4143113454143112
辫 | 41431135514143112
遍 | 451325122454
标 | 123411234
彪 | 21531535333
膘 | 351112522111234
表 | 11213534
鳖 | 4325234313435251211
憋 | 432523431344544
别 | 2515322
瘪 | 413413251113435
彬 | 12341234333
斌 | 413411212154
濒 | 4412121233132534
滨 | 4414453212134
宾 | 4453212134
摈 | 1214453212134
兵 | 3212134
冰 | 412534
柄 | 123412534
丙 | 12534
秉 | 31511234
饼 | 355431132
炳 | 433412534
病 | 4134112534
并 | 431132
玻 | 112153254
菠 | 12244153254
播 | 121343123425121
拨 | 12153544
钵 | 3111512341
波 | 44153254
博 | 121251124124
勃 | 124552153
搏 | 1211251124124
铂 | 3111532511
箔 | 31431444132511
伯 | 3232511
帛 | 32511252
舶 | 33541432511
脖 | 35111245521
膊 | 35111251124124
渤 | 441124552153
泊 | 44132511
驳 | 5513434
捕 | 1211251124
卜 | 24
哺 | 2511251124
补 | 4523424
埠 | 12132515112
不 | 1324
布 | 13252
步 | 2121233
簿 | 3143144411251124124
部 | 4143125152
怖 | 44213252
擦 | 12144535445411234
猜 | 35311212511
裁 | 121413534534
材 | 1234123
才 | 123
财 | 2534123
睬 | 2511134431234
踩 | 251212134431234
采 | 34431234
彩 | 34431234333
菜 | 12234431234
蔡 | 12235445411234
餐 | 2135454344511534
参 | 54134333
蚕 | 1134251214
残 | 135411534
惭 | 44215213312
惨 | 44254134333
灿 | 4334252
苍 | 1223455
舱 | 3354143455
仓 | 3455
沧 | 4413455
藏 | 12213513125125534
操 | 1212512512511234
糙 | 4312343121251454
槽 | 123412512212511
曹 | 12512212511
草 | 122251112
厕 | 13253422
策 | 314314125234
侧 | 32253422
册 | 35351
测 | 441253422
层 | 5131154
蹭 | 2512121432524312511
插 | 121312321511
叉 | 544
茬 | 122132121
茶 | 122341234
查 | 123425111
碴 | 13251123425111
搽 | 121122341234
察 | 44535445411234
岔 | 3453252
差 | 431113121
诧 | 45445315
拆 | 12133124
柴 | 2121351234
豺 | 3443533123
搀 | 121352513544
掺 | 12154134333
蝉 | 25121443251112
馋 | 355352513544
谗 | 45352513544
缠 | 5514132511211
铲 | 31115414313
产 | 414313
阐 | 42543251112
颤 | 4125251125111132534
昌 | 25112511
猖 | 35325112511
场 | 121533
尝 | 243451154
常 | 24345251252
长 | 3154
偿 | 32243451154
肠 | 3511533
厂 | 13
敞 | 243252513134
畅 | 25112533
唱 | 25125112511
倡 | 3225112511
超 | 121213453251
抄 | 1212343
钞 | 311152343
朝 | 122511123511
嘲 | 251122511123511
潮 | 441122511123511
巢 | 55525111234
吵 | 2512343
炒 | 43342343
车 | 1512
扯 | 1212121
撤 | 121415425113134
掣 | 311252223112
彻 | 3321553
澈 | 441415425113134
郴 | 1234123452
臣 | 125125
辰 | 1311534
尘 | 234121
晨 | 25111311534
忱 | 4424535
沉 | 4414535
陈 | 5215234
趁 | 121213434333
衬 | 45234124
撑 | 121243452513112
称 | 3123435234
城 | 121135534
橙 | 1234543341251431
成 | 135534
呈 | 2511121
乘 | 3122113534
程 | 312342511121
惩 | 332121214544
澄 | 441543341251431
诚 | 45135534
承 | 52111534
逞 | 2511121454
骋 | 5512512115
秤 | 3123414312
吃 | 251315
痴 | 4134131134251
持 | 121121124
匙 | 25111213435
池 | 441525
迟 | 5134454
弛 | 515525
驰 | 551525
耻 | 1221112121
齿 | 21213452
侈 | 32354354
尺 | 5134
赤 | 1213234
翅 | 1254541541
斥 | 33124
炽 | 433425134
充 | 415435
冲 | 412512
虫 | 251214
崇 | 25244511234
宠 | 44513534
抽 | 12125121
酬 | 1253511434242
畴 | 251211113124
踌 | 25121211113124
稠 | 3123435121251
愁 | 3123443344544
筹 | 3143141113124
仇 | 3235
绸 | 55135121251
瞅 | 25111312344334
丑 | 5211
臭 | 3251111344
初 | 4523453
出 | 52252
橱 | 1234131251431124
厨 | 131251431124
躇 | 251212112212132511
锄 | 311152511153
雏 | 3551132411121
滁 | 441523411234
除 | 523411234
楚 | 1234123452134
础 | 1325152252
储 | 324512132511
矗 | 122511111225111112251111
搐 | 1214155425121
触 | 3535112251214
处 | 35424
揣 | 121252132522
川 | 322
穿 | 445341523
椽 | 1234551353334
传 | 321154
船 | 33541435251
喘 | 251252132522
串 | 2512512
疮 | 413413455
窗 | 445343253541
幢 | 252414312511211
床 | 4131234
闯 | 425551
创 | 345522
吹 | 2513534
炊 | 43343534
捶 | 12131212211
锤 | 3111531212211
垂 | 31212211
春 | 111342511
椿 | 1234111342511
醇 | 125351141251521
唇 | 1311534251
淳 | 44141251521
纯 | 5511525
蠢 | 111342511251214251214
戳 | 541541324111211534
绰 | 55121251112
疵 | 41341212135
茨 | 122413534
磁 | 13251431554554
雌 | 21213532411121
辞 | 3122514143112
慈 | 4315545544544
瓷 | 4135341554
词 | 4551251
此 | 212135
刺 | 12523422
赐 | 253425113533
次 | 413534
聪 | 122111432514544
葱 | 122353344544
囱 | 3253541
匆 | 35334
从 | 3434
丛 | 34341
凑 | 41111341134
粗 | 43123425111
醋 | 125351112212511
簇 | 31431441533131134
促 | 322512134
蹿 | 2512121445342512512
篡 | 3143142511113454
窜 | 445342512512
摧 | 12125232411121
崔 | 25232411121
催 | 3225232411121
脆 | 3511351355
瘁 | 4134141343412
粹 | 43123441343412
淬 | 44141343412
翠 | 54154141343412
村 | 1234124
存 | 132521
寸 | 124
磋 | 13251431113121
撮 | 121251112211154
搓 | 121431113121
措 | 12112212511
挫 | 1213434121
错 | 3111512212511
搭 | 121122341251
达 | 134454
答 | 314314341251
瘩 | 41341122341251
打 | 12112
大 | 134
呆 | 2511234
歹 | 1354
傣 | 321113424134
戴 | 12125121122134534
带 | 122245252
殆 | 135454251
代 | 32154
贷 | 321542534
袋 | 32154413534
待 | 332121124
逮 | 51124134454
怠 | 542514544
耽 | 1221114535
担 | 12125111
丹 | 3541
单 | 43251112
郸 | 4325111252
掸 | 12143251112
胆 | 351125111
旦 | 25111
氮 | 311543344334
但 | 3225111
惮 | 44243251112
淡 | 44143344334
诞 | 45321554
弹 | 51543251112
蛋 | 52134251214
当 | 243511
挡 | 121243511
党 | 2434525135
荡 | 122441533
档 | 1234243511
刀 | 53
捣 | 1213545252
蹈 | 25121213443321511
倒 | 3215412122
岛 | 3545252
祷 | 45241113124
导 | 515124
到 | 15412122
稻 | 312343443321511
悼 | 44221251112
道 | 431325111454
盗 | 41353425221
德 | 332122522114544
得 | 33225111124
的 | 32511354
蹬 | 2512121543341251431
灯 | 433412
登 | 543341251431
等 | 314314121124
瞪 | 25111543341251431
凳 | 54334125143135
邓 | 5452
堤 | 121251112134
低 | 3235154
滴 | 44141432512251
迪 | 25121454
敌 | 3122513134
笛 | 31431425121
狄 | 3534334
涤 | 4413541234
翟 | 54154132411121
嫡 | 53141432512251
抵 | 12135154
底 | 41335154
地 | 121525
蒂 | 122414345252
第 | 31431451523
帝 | 414345252
弟 | 4351523
递 | 4351523454
缔 | 551414345252
颠 | 1225111134132534
掂 | 12141321251
滇 | 4411225111134
碘 | 1325125122134
点 | 212514444
典 | 25122134
靛 | 1121251144512134
垫 | 121354121
电 | 25115
佃 | 3225121
甸 | 3525121
店 | 41321251
惦 | 44241321251
奠 | 431253511134
淀 | 44144512134
殿 | 5131221343554
碉 | 1325135121251
叼 | 25151
雕 | 3512125132411121
凋 | 4135121251
刁 | 51
掉 | 12121251112
吊 | 251252
钓 | 31115354
调 | 4535121251
跌 | 251212131134
爹 | 3434354354
碟 | 13251122151234
蝶 | 251214122151234
迭 | 31134454
谍 | 45122151234
叠 | 5454544525111
丁 | 12
盯 | 2511112
叮 | 25112
钉 | 3111512
顶 | 12132534
鼎 | 251115132125
锭 | 3111544512134
定 | 44512134
订 | 4512
丢 | 312154
东 | 15234
冬 | 35444
董 | 122312511211
懂 | 442122312511211
动 | 115453
栋 | 123415234
侗 | 32251251
恫 | 442251251
冻 | 4115234
洞 | 441251251
兜 | 32511355135
抖 | 1214412
斗 | 4412
陡 | 521212134
豆 | 1251431
逗 | 1251431454
痘 | 413411251431
都 | 1213251152
督 | 2112345425111
毒 | 112155414
犊 | 312112544134
独 | 353251214
读 | 4512544134
堵 | 12112132511
睹 | 2511112132511
赌 | 253412132511
杜 | 1234121
镀 | 31115413122154
肚 | 3511121
度 | 413122154
渡 | 441413122154
妒 | 5314513
端 | 41431252132522
短 | 311341251431
锻 | 31115321113554
段 | 321113554
断 | 43123453312
缎 | 551321113554
堆 | 12132411121
兑 | 4325135
队 | 5234
对 | 54124
墩 | 121412515213134
吨 | 2511525
蹲 | 2512121431253511124
敦 | 412515213134
顿 | 1525132534
囤 | 2515251
钝 | 311151525
盾 | 331225111
遁 | 331225111454
掇 | 12154545454
哆 | 251354354
多 | 354354
夺 | 134124
垛 | 121351234
躲 | 3251113351234
朵 | 351234
跺 | 2512121351234
舵 | 33541444535
剁 | 35123422
惰 | 442131212511
堕 | 52132511121
蛾 | 2512143121534
峨 | 2523121534
鹅 | 312153435451
俄 | 323121534
额 | 445354251132534
讹 | 453235
娥 | 5313121534
恶 | 1224314544
厄 | 1355
扼 | 1211355
遏 | 251135345454
鄂 | 25125111552
饿 | 3553121534
恩 | 2513414544
而 | 132522
儿 | 35
耳 | 122111
尔 | 35234
饵 | 355122111
洱 | 441122111
二 | 11
贰 | 111253454
发 | 53544
罚 | 252214522
筏 | 314314321534
伐 | 321534
乏 | 3454
阀 | 425321534
法 | 44112154
珐 | 112112154
藩 | 122441343123425121
帆 | 252354
番 | 343123425121
翻 | 343123425121541541
樊 | 123434341234134
矾 | 13251354
钒 | 31115354
繁 | 31554143134554234
凡 | 354
烦 | 4334132534
反 | 3354
返 | 3354454
范 | 12244155
贩 | 25343354
犯 | 35355
饭 | 3553354
泛 | 4413454
坊 | 1214153
芳 | 1224153
方 | 4153
肪 | 35114153
房 | 45134153
防 | 524153
妨 | 5314153
仿 | 324153
访 | 454153
纺 | 5514153
放 | 41533134
菲 | 12221112111
非 | 21112111
啡 | 25121112111
飞 | 534
肥 | 35115215
匪 | 1211121115
诽 | 4521112111
吠 | 2511344
肺 | 35111252
废 | 41353544
沸 | 44151532
费 | 515322534
芬 | 1223453
酚 | 12535113453
吩 | 2513453
氛 | 31153453
分 | 3453
纷 | 5513453
坟 | 1214134
焚 | 123412344334
汾 | 4413453
粉 | 4312343453
奋 | 13425121
份 | 323453
忿 | 34534544
愤 | 442121222534
粪 | 431234122134
丰 | 1112
封 | 121121124
枫 | 12343534
蜂 | 2512143541112
峰 | 2523541112
锋 | 311153541112
风 | 3534
